year_academic,id_school,name_school,sector,category,group,oss_denom,oss_0_numer,oss_0_pct,oss_1_numer,oss_1_pct,oss_2_numer,oss_2_pct,oss_3_numer,oss_3_pct,oss_4_numer,oss_4_pct,att_denom,att_95_numer,att_95_pct,grad_denom,grad_4_numer,grad_4_pct
2018-2019,1010,John Bartram High School,District,All Students,All Students,683,579,84.77,84,12.3,14,2.05,6,0.88,0,0,683,174,25.48,159,94,59.12
2018-2019,1020,West Philadelphia High School,District,All Students,All Students,501,421,84.03,61,12.18,12,2.4,4,0.8,3,0.6,501,68,13.57,114,70,61.40
2018-2019,1030,High School of the Future,District,All Students,All Students,561,507,90.37,40,7.13,12,2.14,1,0.18,1,0.18,561,251,44.74,107,88,82.24
2018-2019,1050,Paul Robeson High School for Human Services,District,All Students,All Students,323,308,95.36,14,4.33,1,0.31,0,0,0,0,323,122,37.77,76,71,93.42
2018-2019,1100,William L. Sayre High School,District,All Students,All Students,539,418,77.55,83,15.4,30,5.57,6,1.11,2,0.37,539,84,15.58,103,55,53.40
2018-2019,1130,William T. Tilden School,District,All Students,All Students,457,362,79.21,59,12.91,16,3.5,9,1.97,11,2.41,457,233,50.98,,,
2018-2019,1190,Motivation High School,District,All Students,All Students,417,383,91.85,31,7.43,3,0.72,0,0,0,0,417,327,78.42,88,75,85.23
2018-2019,1200,John Barry School,District,All Students,All Students,764,722,94.5,35,4.58,5,0.65,2,0.26,0,0,764,211,27.62,,,
2018-2019,1230,William C. Bryant School,District,All Students,All Students,525,483,92,29,5.52,13,2.48,0,0,0,0,525,119,22.67,,,
2018-2019,1250,Joseph W. Catharine School,District,All Students,All Students,536,534,99.63,1,0.19,1,0.19,0,0,0,0,536,246,45.9,,,
2018-2019,1260,Benjamin B. Comegys School,District,All Students,All Students,566,527,93.11,16,2.83,11,1.94,8,1.41,4,0.71,566,187,33.04,,,
2018-2019,1280,Sadie Alexander School,District,All Students,All Students,581,577,99.31,4,0.69,0,0,0,0,0,0,581,493,84.85,,,
2018-2019,1290,Andrew Hamilton School,District,All Students,All Students,575,547,95.13,22,3.83,5,0.87,0,0,1,0.17,575,168,29.22,,,
2018-2019,1300,Avery D. Harrington School,District,All Students,All Students,548,430,78.47,63,11.5,21,3.83,12,2.19,22,4.01,548,150,27.37,,,
2018-2019,1340,Henry C. Lea School,District,All Students,All Students,568,496,87.32,44,7.75,15,2.64,4,0.7,9,1.58,568,254,44.72,,,
2018-2019,1350,William C. Longstreth School,District,All Students,All Students,451,409,90.69,28,6.21,9,2,4,0.89,1,0.22,451,169,37.47,,,
2018-2019,1360,Morton McMichael School,District,All Students,All Students,406,373,91.87,26,6.4,3,0.74,2,0.49,2,0.49,406,139,34.24,,,
2018-2019,1370,S. Weir Mitchell School,District,All Students,All Students,626,555,88.66,31,4.95,16,2.56,5,0.8,19,3.04,626,189,30.19,,,
2018-2019,1380,Thomas G. Morton School,District,All Students,All Students,658,652,99.09,2,0.3,3,0.46,1,0.15,0,0,658,259,39.36,,,
2018-2019,1390,Samuel Powel School,District,All Students,All Students,257,252,98.05,4,1.56,0,0,0,0,1,0.39,257,185,71.98,,,
2018-2019,1400,John M. Patterson School,District,All Students,All Students,579,579,100,0,0,0,0,0,0,0,0,579,344,59.41,,,
2018-2019,1410,James Rhoads School,District,All Students,All Students,609,522,85.71,47,7.72,29,4.76,8,1.31,3,0.49,609,138,22.66,,,
2018-2019,1420,Martha Washington School,District,All Students,All Students,385,361,93.77,19,4.94,4,1.04,0,0,1,0.26,385,160,41.56,,,
2018-2019,1440,Penrose School,District,All Students,All Students,534,511,95.69,10,1.87,5,0.94,5,0.94,3,0.56,534,228,42.7,,,
2018-2019,1460,Add B. Anderson School,District,All Students,All Students,526,452,85.93,48,9.13,12,2.28,9,1.71,5,0.95,526,198,37.64,,,
2018-2019,1470,Alain Locke School,District,All Students,All Students,555,499,89.91,37,6.67,14,2.52,4,0.72,1,0.18,555,162,29.19,,,
2018-2019,1490,Rudolph Blankenburg School,District,All Students,All Students,490,450,91.84,30,6.12,9,1.84,1,0.2,0,0,490,155,31.63,,,
2018-2019,1580,Middle Years Alternative School,District,All Students,All Students,279,261,93.55,17,6.09,1,0.36,0,0,0,0,279,195,69.89,,,
2018-2019,2000,South Philadelphia High School,District,All Students,All Students,717,613,85.5,66,9.21,27,3.77,8,1.12,3,0.42,717,185,25.8,176,97,55.11
2018-2019,2010,Benjamin Franklin High School,District,All Students,All Students,510,415,81.37,67,13.14,16,3.14,10,1.96,2,0.39,510,94,18.43,124,72,58.06
2018-2019,2020,High School for Creative and Performing Arts,District,All Students,All Students,751,737,98.14,13,1.73,1,0.13,0,0,0,0,751,562,74.83,179,171,95.53
2018-2019,2050,Science Leadership Academy Middle School,District,All Students,All Students,284,282,99.3,2,0.7,0,0,0,0,0,0,284,195,68.66,,,
2018-2019,2140,Julia R. Masterman School,District,All Students,All Students,1214,1213,99.92,1,0.08,0,0,0,0,0,0,1214,1082,89.13,110,110,100.00
2018-2019,2160,Furness High School,District,All Students,All Students,753,648,86.06,64,8.5,20,2.66,11,1.46,10,1.33,753,243,32.27,194,144,74.23
2018-2019,2190,D. Newlin Fell School,District,All Students,All Students,619,618,99.84,1,0.16,0,0,0,0,0,0,619,347,56.06,,,
2018-2019,2210,Bache-Martin School,District,All Students,All Students,494,466,94.33,22,4.45,4,0.81,2,0.4,0,0,494,260,52.63,,,
2018-2019,2240,F. Amedee Bregy School,District,All Students,All Students,380,354,93.16,19,5,5,1.32,1,0.26,1,0.26,380,165,43.42,,,
2018-2019,2260,George W. Childs School,District,All Students,All Students,573,531,92.67,24,4.19,6,1.05,7,1.22,5,0.87,573,295,51.48,,,
2018-2019,2290,Franklin Learning Center,District,All Students,All Students,968,957,98.86,10,1.03,1,0.1,0,0,0,0,968,478,49.38,223,196,87.89
2018-2019,2320,Stephen Girard School,District,All Students,All Students,476,476,100,0,0,0,0,0,0,0,0,476,181,38.03,,,
2018-2019,2340,General George A. McCall School,District,All Students,All Students,740,735,99.32,5,0.68,0,0,0,0,0,0,740,625,84.46,,,
2018-2019,2370,Delaplaine McDaniel School,District,All Students,All Students,459,386,84.1,45,9.8,13,2.83,7,1.53,8,1.74,459,137,29.85,,,
2018-2019,2380,William M. Meredith School,District,All Students,All Students,583,583,100,0,0,0,0,0,0,0,0,583,472,80.96,,,
2018-2019,2390,Robert Morris School,District,All Students,All Students,292,276,94.52,12,4.11,3,1.03,1,0.34,0,0,292,120,41.1,,,
2018-2019,2410,Girard Academic Music Program,District,All Students,All Students,628,622,99.04,4,0.64,2,0.32,0,0,0,0,628,469,74.68,62,62,100.00
2018-2019,2450,Edwin M. Stanton School,District,All Students,All Students,325,313,96.31,10,3.08,1,0.31,0,0,1,0.31,325,155,47.69,,,
2018-2019,2470,Albert M. Greenfield School,District,All Students,All Students,676,674,99.7,2,0.3,0,0,0,0,0,0,676,556,82.25,,,
2018-2019,2480,Chester A. Arthur School,District,All Students,All Students,284,263,92.61,18,6.34,3,1.06,0,0,0,0,284,141,49.65,,,
2018-2019,2490,Laura W. Waring School,District,All Students,All Students,326,303,92.94,19,5.83,4,1.23,0,0,0,0,326,104,31.9,,,
2018-2019,2510,Andrew Jackson School,District,All Students,All Students,607,584,96.21,9,1.48,4,0.66,5,0.82,5,0.82,607,385,63.43,,,
